"surv" "CL" "zt" "er" "b" "Effectiveness" "Efficiency"
"Two-step" "0.8/0.9" 2500 100 50 "(1) 100" "(5) 597.9603"
"Two-step" "0.8/0.9" 2500 100 0 "(1) 100" "(9) 539.7196"
"Two-step" "0.8/0.9" 2500 50 50 "(1) 100" "(11) 524.9091"
"Two-step" "0.6/0.7" 2500 100 0 "(2) 99.9977" "(25) 182.6965"
"Two-step" "0.8/0.9" 2500 50 90 "(3) 99.9973" "(2) 663.1055"
"Two-step" "0.8/0.9" 2500 100 90 "(4) 99.9962" "(1) 713.8407"
"Two-step" "0.8/0.9" 2500 50 0 "(5) 99.9943" "(23) 202.3349"
"Two-step" "0.6/0.7" 2500 100 90 "(6) 99.9776" "(4) 623.5861"
"Two-step" "0.6/0.7" 2500 100 50 "(7) 99.9753" "(21) 255.0625"
"Two-step" "0.6/0.7" 5000 100 0 "(8) 99.9723" "(38) 39.435"
"Two-step" "0.8/0.9" 5000 100 90 "(9) 99.9658" "(3) 649.3016"
"Two-step" "0.8/0.9" 5000 50 0 "(10) 99.9574" "(37) 48.9011"
"Two-step" "0.8/0.9" 5000 100 0 "(11) 99.8886" "(24) 186.4544"
"Two-step" "0.8/0.9" 5000 50 90 "(12) 99.8719" "(6) 591.6724"
"Two-step" "0.6/0.7" 2500 50 90 "(13) 99.8308" "(8) 557.3763"
"Two-step" "0.6/0.7" 5000 100 90 "(14) 99.6491" "(7) 569.1983"
"One-step" "0.99/0.99" 2500 100 0 "(15) 99.6066" "(40) 25.3044"
"Two-step" "0.6/0.7" 2500 50 0 "(16) 99.4735" "(39) 25.5099"
"One-step" "0.99/0.99" 2500 100 90 "(17) 99.4507" "(12) 511.353"
"Two-step" "0.6/0.7" 2500 50 50 "(18) 99.196" "(26) 179.397"
"One-step" "0.99/0.99" 5000 100 0 "(19) 99.1538" "(42) 12.755"
"Two-step" "0.8/0.9" 5000 100 50 "(20) 99.1303" "(20) 313.9145"
"One-step" "0.8/0.9" 2500 100 0 "(21) 98.7482" "(44) 8.6017"
"Two-step" "0.6/0.7" 5000 100 50 "(22) 98.6673" "(27) 177.6419"
"One-step" "0.99/0.99" 2500 50 0 "(23) 98.5566" "(43) 8.8652"
"One-step" "0.99/0.99" 2500 50 90 "(24) 98.4057" "(14) 488.7208"
"One-step" "0.99/0.99" 2500 100 50 "(25) 98.3768" "(28) 154.9465"
"One-step" "0.99/0.99" 5000 100 90 "(26) 98.3442" "(13) 496.1682"
"Two-step" "0.8/0.9" 5000 50 50 "(27) 98.2354" "(22) 213.4507"
"Two-step" "0.6/0.7" 5000 50 90 "(28) 97.8941" "(10) 538.0014"
"One-step" "0.8/0.9" 2500 100 90 "(29) 97.7337" "(17) 467.9545"
"One-step" "0.8/0.9" 5000 100 0 "(30) 96.8913" "(45) 5.803"
"One-step" "0.99/0.99" 5000 100 50 "(31) 96.672" "(30) 96.3685"
"Two-step" "0.6/0.7" 5000 50 0 "(32) 96.572" "(41) 15.4272"
"One-step" "0.99/0.99" 5000 50 0 "(33) 96.4382" "(46) 4.3377"
"One-step" "0.8/0.9" 5000 100 90 "(34) 95.9664" "(16) 475.228"
"One-step" "0.8/0.9" 2500 100 50 "(35) 95.9588" "(32) 83.076"
"One-step" "0.99/0.99" 2500 50 50 "(36) 95.7391" "(31) 92.8794"
"One-step" "0.99/0.99" 5000 50 90 "(37) 95.3423" "(15) 487.6561"
"Two-step" "0.6/0.7" 5000 50 50 "(38) 93.9362" "(29) 133.321"
"One-step" "0.8/0.9" 5000 100 50 "(39) 92.3837" "(34) 72.9616"
"One-step" "0.99/0.99" 5000 50 50 "(40) 92.0359" "(33) 78.0952"
"One-step" "0.8/0.9" 2500 50 90 "(41) 91.7151" "(19) 436.4413"
"One-step" "0.8/0.9" 2500 50 0 "(42) 91.4623" "(48) 0.9593"
"One-step" "0.8/0.9" 2500 50 50 "(43) 88.1476" "(36) 62.4256"
"One-step" "0.8/0.9" 5000 50 90 "(44) 87.6614" "(18) 467.8174"
"One-step" "0.8/0.9" 5000 50 0 "(45) 84.1794" "(47) 1.3493"
"One-step" "0.8/0.9" 5000 50 50 "(46) 80.9228" "(35) 65.9095"
