"time" "n_samples" "n_cells" "surv" "CL" "zt" "er" "b"
"1" 12 200 197 "one_step_00" "0.8/0.9" "2500" "50" "0"
"2" 24 484 339 "one_step_00" "0.8/0.9" "2500" "50" "0"
"3" 36 486 436 "one_step_00" "0.8/0.9" "2500" "50" "0"
"4" 48 486 451 "one_step_00" "0.8/0.9" "2500" "50" "0"
"5" 60 486 456 "one_step_00" "0.8/0.9" "2500" "50" "0"
"6" 72 486 463 "one_step_00" "0.8/0.9" "2500" "50" "0"
"7" 84 486 448 "one_step_00" "0.8/0.9" "2500" "50" "0"
"8" 96 486 461 "one_step_00" "0.8/0.9" "2500" "50" "0"
"9" 108 486 449 "one_step_00" "0.8/0.9" "2500" "50" "0"
"10" 120 486 450 "one_step_00" "0.8/0.9" "2500" "50" "0"
"11" 132 486 451 "one_step_00" "0.8/0.9" "2500" "50" "0"
"12" 144 486 450 "one_step_00" "0.8/0.9" "2500" "50" "0"
"13" 156 486 461 "one_step_00" "0.8/0.9" "2500" "50" "0"
"14" 168 486 456 "one_step_00" "0.8/0.9" "2500" "50" "0"
"15" 180 486 443 "one_step_00" "0.8/0.9" "2500" "50" "0"
"16" 192 486 447 "one_step_00" "0.8/0.9" "2500" "50" "0"
"17" 204 486 443 "one_step_00" "0.8/0.9" "2500" "50" "0"
"18" 216 486 444 "one_step_00" "0.8/0.9" "2500" "50" "0"
"19" 228 486 447 "one_step_00" "0.8/0.9" "2500" "50" "0"
"20" 240 486 438 "one_step_00" "0.8/0.9" "2500" "50" "0"
"21" 252 486 418 "one_step_00" "0.8/0.9" "2500" "50" "0"
"22" 264 486 417 "one_step_00" "0.8/0.9" "2500" "50" "0"
"23" 276 485 398 "one_step_00" "0.8/0.9" "2500" "50" "0"
"24" 288 485 388 "one_step_00" "0.8/0.9" "2500" "50" "0"
"25" 300 485 399 "one_step_00" "0.8/0.9" "2500" "50" "0"
"26" 312 485 386 "one_step_00" "0.8/0.9" "2500" "50" "0"
"27" 324 485 365 "one_step_00" "0.8/0.9" "2500" "50" "0"
"28" 336 485 372 "one_step_00" "0.8/0.9" "2500" "50" "0"
"29" 348 485 361 "one_step_00" "0.8/0.9" "2500" "50" "0"
"30" 360 485 352 "one_step_00" "0.8/0.9" "2500" "50" "0"
"31" 12 200 193 "one_step_00" "0.8/0.9" "2500" "50" "50"
"32" 24 200 193 "one_step_00" "0.8/0.9" "2500" "50" "50"
"33" 36 486 438 "one_step_00" "0.8/0.9" "2500" "50" "50"
"34" 48 486 444 "one_step_00" "0.8/0.9" "2500" "50" "50"
"35" 60 486 448 "one_step_00" "0.8/0.9" "2500" "50" "50"
"36" 72 486 456 "one_step_00" "0.8/0.9" "2500" "50" "50"
"37" 84 486 463 "one_step_00" "0.8/0.9" "2500" "50" "50"
"38" 96 486 461 "one_step_00" "0.8/0.9" "2500" "50" "50"
"39" 108 486 457 "one_step_00" "0.8/0.9" "2500" "50" "50"
"40" 120 486 444 "one_step_00" "0.8/0.9" "2500" "50" "50"
"41" 132 486 461 "one_step_00" "0.8/0.9" "2500" "50" "50"
"42" 144 486 457 "one_step_00" "0.8/0.9" "2500" "50" "50"
"43" 156 486 456 "one_step_00" "0.8/0.9" "2500" "50" "50"
"44" 168 486 443 "one_step_00" "0.8/0.9" "2500" "50" "50"
"45" 180 486 457 "one_step_00" "0.8/0.9" "2500" "50" "50"
"46" 192 486 453 "one_step_00" "0.8/0.9" "2500" "50" "50"
"47" 204 486 452 "one_step_00" "0.8/0.9" "2500" "50" "50"
"48" 216 486 446 "one_step_00" "0.8/0.9" "2500" "50" "50"
"49" 228 486 448 "one_step_00" "0.8/0.9" "2500" "50" "50"
"50" 240 486 445 "one_step_00" "0.8/0.9" "2500" "50" "50"
"51" 252 486 435 "one_step_00" "0.8/0.9" "2500" "50" "50"
"52" 264 486 437 "one_step_00" "0.8/0.9" "2500" "50" "50"
"53" 276 486 436 "one_step_00" "0.8/0.9" "2500" "50" "50"
